"hashtag","count","promoted"
"boca x river",2,false
"#naughtyboybrazildontlikeyou",2,false
"#1yearwithoutmagcon",2,false
"#brazilmissesoldmagcon",1,false
"aguirre",1,false
"#favqsigocomsrdastagsousado",4,false
"#tanoar",4,false
"san lorenzo",5,false
"#chapaquente",4,false
"vai corinthians",5,false
"renato augusto",2,false
"vagner love",8,false
"#cadaumeonze",5,false
"la u",9,false
"nilmar",10,false
"corinthians x san lorenzo",1,false
"palestino",1,false
"#rafaelabreojogo",6,false
"boca",7,false
"#askbieber",13,false
"promise me this is forever",6,false
"#canalasclarasnoyoutube",13,false
"levy fidelix",8,false
"supporting eye candy",6,false
"#gabysemprealtoastral",6,false
"selibertadunat",3,false
"#tudoficamelhorcombacon",17,false
"#cartorionotvz",14,false
"lucrécia",5,false
"cobra",13,false
"wolfsburg",1,false
"ovagabundoestábemdisposto",10,false
"existeamorprarecomeçarduanca",1,false
"napoli",2,false
"#ausurpadora014",8,false
"#thefamchallenge",13,false
"acontaénossaduca",15,false
"#poeacaranosolperina",10,false
"#coracaoindomavel",1,false
"#somostodosmoro",1,false
"han solo",6,false
"#watchflyonvevo",11,false
"harrison ford",6,false
"#vampsontour",4,false
"star wars",30,false
"#starwarscelebration",1,false
"tia bah",4,false
"watchamericanoxygenonvevo",9,false
"#stormtrooper",16,false
"#amandadjehdiannopaparazzo",19,false
"estalo da ppk",24,false
"#tamirespnabeautyfair",7,false
"cólica e do capiroto",23,false
"kleber toledo",2,false
"#jacobontourwithr5",5,false
"#explicamoroporquesopt",40,false
"encontrocommariajoana",16,false
"isner",2,false
"simone e simaria",20,false
"orlando magic",10,false
"#flymusicvideoongma",26,false
"zona sul de são paulo",2,false
"os vaccari",12,false
"federer",8,false
"""ok""",3,false
"contorno",1,false
"billboard hot 100",4,false
"dia de inter",6,false
"tapes",11,false
"#gauchahoje",3,false
"hoje tem corinthians",29,false
"west hollywood",14,false
"#5yearssinceniallsaudition",4,false
"#felizaniversariolira",27,false
"david luiz",9,false
"coraline",9,false
"#pieceofme",2,false
"#batmanvsuperman",27,false
"happybdaybdm",2,false
"querô",7,false
"#euacredito",1,false
"santa fé",2,false
"#projotanocorujaodoesporte",6,false
"#valentinanookaypessoal",14,false
"#askamell",27,false
"lincoln",3,false
"#fifthharmonyonthevoice",2,false
"pratto",7,false
"felipe dylon",26,false
"levir",15,false
"#favsdvcomsrapeppaeahobbit",60,false
"atlas",11,false
"gisele",15,false
"bernardo",19,false
"thank you nina dobrev",19,false
"danúbio",17,false
