"hashtag","count","promoted"
"Damn Kentucky",2,false
"Coach Cal",2,false
"Aaron Harrison",2,false
"Ashley Judd",2,false
"Calipari",2,false
"Sam Dekker",3,false
"Towns",3,false
"Lyles",3,false
"#The8thDeadlySin",1,false
"Dekker",2,false
"Marcus Smart",2,false
"Kaminsky",5,false
"Andrew Harrison",6,false
"#SweetiePies",4,false
"#RespectForZayn",11,false
"#OutlanderReturns",8,false
"Kylie Jenner",2,false
"#COLvNE",1,false
"American Oxygen",8,false
"Blue Devils",1,false
"Kylie",11,false
"Tyus Jones",5,false
"Dawson",1,false
"Winslow",6,false
"Duke",14,false
"Sparty",4,false
"#CapsSens",7,false
"Grayson Allen",11,false
"#DukeNation",2,false
"Coach K",1,false
"Plumlee",1,false
"Bill Raftery",2,false
"Spartans",6,false
"Okafor",14,false
"Michigan State",12,false
"Denzel Valentine",1,false
"When Ya",5,false
"#FinalFour",17,false
"When Yall",1,false
"#GoGreen",1,false
"James Yammouni",4,false
"Clint Robinson",6,false
"#NewShawnSongTomorrow",5,false
"Bika",7,false
"Condo Commando",1,false
"#USWNT",13,false
"Die With You",10,false
"#WeDC",6,false
"#HorribleGiftsInsideEasterEggs",11,false
"When You",10,false
"#StevensonBika",6,false
"Drew Storen",8,false
"#TheConcertAboutNothing",4,false
"#HolySaturdayVigil",4,false
"Courtois",1,false
"#Natitude",6,false
"Chelsea",10,false
"Charlie Adam",13,false
"#DNDSZN",8,false
"Oak Hill",10,false
"#ldsconf",35,false
"Joey Barton",2,false
"#MUFC",6,false
"Rooney",1,false
"#Arsenal",6,false
"#UFCFairfax",29,false
"#nerdland",4,false
"Paul George",22,false
"#BedtimeStoriesTour",1,false
"#IfTwitterBlowsUp",6,false
"#SweetSuplexSatday",5,false
"#HolySaturday",3,false
"#ARSvLIV",1,false
"Emre Can",6,false
"Giroud",8,false
"#uppers",7,false
"#ColorMoney",4,false
"Bellerin",3,false
"Arsenal",13,false
"Ozil",4,false
"Emirates Stadium",2,false
"Mignolet",8,false
"Liverpool",19,false
"Holy Saturday",2,false
"#satchathack",6,false
"Pjanic",2,false
"#RuinAMovieWithHitler",29,false
"#BloodMoon",4,false
"#N1CanalFiesta14",8,false
"#lunareclipse",15,false
"Happy Passover",2,false
"#Passover",4,false
"#HappyBirthdayRicky",5,false
"Color Money",27,false
"Plies",48,false
"COLOR MONEY",2,false
"RIP Paul Walker",1,false
"Easter",17,false
"Furious 7",21,false
"#GoodFriday",23,false
"#IranDeal",22,false
"#BlackOutDay",28,false
"#RIPPaulWalker",1,false
"Good Friday",7,false
"#ThankYouAJ",1,false
"CJ McCollum",2,false
"Interstellar",11,false
"Lakers",11,false
"#MakeAQuoteWhiny",12,false
"Ben Revere",1,false
"Aaron Brooks",2,false
"Jordan Clarkson",9,false
"Fat Tuesday",15,false
"#WizKnicks",1,false
"#BSBTheMovie",6,false
"Sarah Brady",28,false
"#ReasonsToRespectJB",26,false
"#PreachersDaughters",4,false
"#GraceShow",17,false
