"hashtag","4-02","4-03","4-04","4-05","4-06","4-07","4-08","4-09","4-10","4-11","4-12","4-13","4-14","4-15","4-16","4-17","4-18","4-19","4-20","4-21","4-22","4-23","4-24","4-25","4-26","4-27"
"#irandeal",32,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"full house",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
"james jones",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"#greysanatomy",7,0,0,0,0,0,0,14,14,0,0,0,0,0,10,0,0,0,0,0,0,10,37,0,0,0
"#scandal",11,33,0,0,0,0,0,0,0,0,0,0,0,0,11,36,0,0,0,0,0,5,0,0,0,0
"#smackdown",6,0,0,0,0,0,0,10,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0
"#lipsyncbattle",6,12,0,0,0,0,0,5,12,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0
"#americancrime",0,6,0,0,0,0,0,5,8,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0
"#blackoutday",0,50,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"furious 7",0,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"good friday",0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#goodfriday",0,39,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"josh hamilton",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"sarah brady",0,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#bringit",0,11,0,0,0,0,0,0,10,8,0,0,0,0,0,6,16,0,0,0,0,0,10,0,0,0
"#bsbthemovie",0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aaron brooks",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"#graceshow",0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"liverpool",0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"arsenal",0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"paul george",0,0,22,10,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0
"#arsenal",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"chelsea",0,0,10,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,15,0
"#uswnt",0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"#finalfour",0,0,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"okafor",0,0,14,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"grayson allen",0,0,11,0,9,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"duke",0,0,14,0,0,35,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"winslow",0,0,6,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tyus jones",0,0,5,0,0,20,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"#respectforzayn",0,0,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
