"hashtag","count","promoted"
"paul george",1,false
"#bandwiches",1,false
"#sebasmiamorsígueme",2,false
"#bucciovertimechallenge",2,false
"#blackhawks",2,false
"colo colo",3,false
"#catfish",5,false
"pelicans",6,false
"danúbio",7,false
"#masterchefar",5,false
"thank you nina dobrev",8,false
"#usavmex",11,false
"#arrow",5,false
"#selfieforseb",7,false
"river",12,false
"subban",6,false
"#corosantarosa",1,false
"#gohabsgo",9,false
"gisele",12,false
"#mecansedeque",1,false
"patty jenkins",1,false
"#هل_تستطيع_التخلي_عن_تويتر",1,false
"tigres",3,false
"aurich",1,false
"juan aurich",2,false
"#zuritaenyoutube",4,false
"#verdaderoamigo",3,false
"gol de tigres",3,false
"emelec",1,false
"#اختصر_وطنك_في_كلمتين",19,false
"#fifthharmonyonthevoice",12,false
"#firstdates",7,false
"#ateamhotwings",3,false
"#pesadillaestacion",1,false
"#newzoids",2,false
"neymar",15,false
"david luiz",23,false
"#tvoi",12,false
"ter stegen",1,false
"#cuentaatrassv",7,false
"pastore",3,false
"psg 0-1 barcelona",1,false
"cavani",15,false
"mascherano",2,false
"bayern",9,false
"dante",5,false
"vamos barça",1,false
"#برشلونه_باريس",15,false
"#psgbar",7,false
"porto",18,false
"capitol",4,false
"avrupa parlamentosu",4,false
"#stylingwithcheryl",3,false
"#dailythoughtsin4words",31,false
"세월호",8,false
"vaccari",7,false
"jackie robinson",2,false
"#andoconganasde",15,false
"#shotsupdatenextweek",16,false
"#cjratggsmencaribintang",4,false
"#remember0416",15,false
"#هدم_جداريه_وين_رايح",10,false
"aaron hernandez",30,false
"#taxday",15,false
"farc",27,false
"倫太郎",3,false
"전화번호 알고싶다",13,false
"#덕질을_때문에한_거짓말을_말해보자",7,false
"#draghi",11,false
"klopp",21,false
"セクゾ",2,false
"cauca",9,false
"ere de coca-cola",4,false
"pablo iglesias",21,false
"el supremo",1,false
"工藤静香",1,false
"felipe vi",4,false
"#yenitürkiyesözleşmesi",15,false
"#callmebaby7thwin",12,false
"歌謡祭",12,false
"kris wu",8,false
"マツイ",3,false
"#klopp",13,false
"ベイブレード",2,false
"살가드",6,false
"#jft96",7,false
"dolar 2.70",21,false
"#labbadia",5,false
"akpningidişine kaldı53gün",12,false
"gackt",3,false
"onbirgünoldu faillerbulunmadı",1,false
"#شي_حلو_بحرف_النون",30,false
"narayan rane",6,false
"chicserofficial video blog",8,false
"fleetwood mac",12,false
"#اسم_بنت_جميل",19,false
"fernando rodney",2,false
"#iponingtips",9,false
"nolan arenado",7,false
"#bmjfinale",4,false
"cid moreira",4,false
"pacers",8,false
"비타500",19,false
"racing",12,false
"don miguelo",10,false
"#7daysuntilconnorsbook",4,false
"#soberano2015",8,false
"#screamaua400k",13,false
"#5wordmoneyproblems",18,false
"#5yearssinceniallsaudition",46,false
