"hashtag","count","promoted"
"#القدس_تنتفض",24,false
"pm netanyahu",25,false
"#القدس",2,false
"#ruinaromanticmomentin4words",26,false
"armenian",28,false
"a-tur",9,false
"east jerusalem",23,false
"#impact",6,false
"#angrywords",33,false
"shabbat shalom",6,false
"#mbcthexfactor",36,false
"#המטההמרכזי",37,false
"#nepalearthquake",13,false
"#nepal",6,false
"bruce jenner",47,false
"#jordan",16,false
"#earthquake",20,false
"nepal",24,false
"syria",78,false
"#whereiwaswhenzaynquit",49,false
"turkey",28,false
"armenians",61,false
"right now",3,false
"worth it",17,false
"the crowds award",27,false
"southampton",41,false
"my spring",58,false
"#yomhaatzmaut",13,false
"#חידון_התנך_הקבצה_ג",39,false
"#armeniangenocide",46,false
"#israelisstillwaitingfor1d",55,false
"#piku",54,false
