"hashtag","4-02","4-03","4-04","4-05","4-06","4-07","4-08","4-09","4-10","4-11","4-12","4-13","4-14","4-15","4-16","4-17","4-18","4-19","4-20","4-21","4-22","4-23","4-24","4-25","4-26","4-27"
"hebron",8,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#irandeal",37,70,7,24,0,0,0,0,0,0,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kiryat arba",37,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#aden",36,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#theyretheone",37,33,11,49,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dubai",14,51,53,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"passover",34,7,0,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#hebron",6,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#leadersdebate",24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"raheem sterling",27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#الخليل",24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"west bank",23,74,0,0,5,0,59,10,34,0,0,0,0,40,18,0,0,0,0,0,0,0,0,0,0,7
"happy passover",0,84,5,47,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#אשכנזי_במוסך",0,80,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"seder",0,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pm netanyahu",0,11,36,0,0,0,0,0,0,0,9,39,0,43,10,0,0,0,0,0,11,0,0,25,64,53
"chag sameach",0,50,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#nabisaleh",0,49,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ليث ابو جوده",0,9,0,31,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#זה_שאינו_יודע_לשאול",0,25,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"liverpool",0,10,57,46,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#votetrismtv",0,0,95,95,80,64,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jose mourinho",0,0,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arsenal",0,0,61,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"full highlights 2015.04.03",0,0,55,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#yarmouk",0,0,30,73,95,46,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#mbcthexfactor",0,0,34,21,0,0,0,0,0,15,0,0,0,0,0,0,36,69,0,0,0,0,0,36,70,0
"#لن_يسقط_اليرموك",0,0,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#yarmoukcamp",0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"happy easter",0,0,0,47,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#hamas",0,0,0,46,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"#respectforzayn",0,0,0,68,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"islamic state",0,0,0,51,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#israelisstillwaitingfor1d",0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,95,55,0,0
"#happyeaster",0,0,0,33,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"michael clifford",0,0,0,32,84,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"palestinians",0,0,0,26,69,30,9,5,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
"gaza",0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,64,63,31,36,32,31,0,0,0
"#bigdata",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,52,15,13,0,0,0,0,0
"easter",0,0,0,0,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#20daysofdallas",0,0,0,0,14,28,54,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"western wall",0,0,0,0,59,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,0,0
"syria",0,0,0,0,6,58,13,0,0,0,44,0,0,0,0,0,0,0,0,75,0,0,0,78,64,36
"#turkey",0,0,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#digitaldiplomacy",0,0,0,0,45,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#מכביבש",0,0,0,0,39,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"مخيم اليرموك",0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#mcfc",0,0,0,0,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the shopping guide",0,0,0,0,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hamas",0,0,0,0,0,24,7,48,66,9,5,0,0,51,20,0,0,0,0,0,0,0,0,0,0,0
"palestine",0,0,0,0,0,14,33,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"worth it",0,0,0,0,0,42,14,0,0,5,34,0,0,0,17,65,78,45,11,91,95,94,25,17,0,0
"#facetimemenash",0,0,0,0,0,20,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#worldhealthday",0,0,0,0,0,31,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arabs",0,0,0,0,0,30,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7
"#بلد_نفسك_تسافر_عليها",0,0,0,0,0,26,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#avfc",0,0,0,0,0,19,57,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
"white house",0,0,0,0,0,0,88,67,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
"hebrew",0,0,0,0,0,0,44,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"shilo",0,0,0,0,0,0,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#הציוץ_האחרון",0,0,0,0,0,0,42,95,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#breaking",0,0,0,0,0,0,38,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kid ink",0,0,0,0,0,0,37,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"worth",0,0,0,0,0,0,20,30,7,48,0,0,34,46,0,0,0,0,10,0,0,0,28,0,0,0
"#facup",0,0,0,0,0,0,28,43,0,0,0,0,0,0,0,0,0,66,26,0,0,0,0,0,0,0
"#newbethvideo",0,0,0,0,0,0,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#celebrityawards2015",0,0,0,0,0,0,0,95,95,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"holocaust",0,0,0,0,0,0,0,24,0,0,29,95,65,0,9,26,45,0,0,0,0,0,0,0,0,0
"#888live",0,0,0,0,0,0,0,32,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#שרן_אל_תלך",0,0,0,0,0,0,0,51,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#משפטי_פתיחה_לא_טובים",0,0,0,0,0,0,0,46,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#prayformamaswift",0,0,0,0,0,0,0,35,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jaya",0,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cara delevingne",0,0,0,0,0,0,0,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#جعفر_عوض",0,0,0,0,0,0,0,0,55,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#1disfinallyfreefrommodest",0,0,0,0,0,0,0,0,48,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"amitabh bachchan",0,0,0,0,0,0,0,0,48,93,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"shazam",0,0,0,0,0,0,0,0,26,38,25,0,0,0,0,0,16,13,0,0,0,0,0,0,0,0
"#askcam3",0,0,0,0,0,0,0,0,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"michael",0,0,0,0,0,0,0,0,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"coachella",0,0,0,0,0,0,0,0,0,95,70,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#5yearssinceharrysaudition",0,0,0,0,0,0,0,0,0,49,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#telaviv",0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
"#אשכנזים_במימונה",0,0,0,0,0,0,0,0,0,46,50,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#המטההמרכזי",0,0,0,0,0,0,0,0,0,37,62,0,0,0,0,0,37,63,0,0,0,0,0,37,62,0
"chelsea",0,0,0,0,0,0,0,0,0,37,23,0,0,0,0,0,36,22,0,0,0,0,0,0,46,60
"#mimouna",0,0,0,0,0,0,0,0,0,32,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#veganonions",0,0,0,0,0,0,0,0,0,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#explainyourusername",0,0,0,0,0,0,0,0,0,0,77,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jews",0,0,0,0,0,0,0,0,0,0,52,72,69,0,26,46,0,0,0,0,8,0,0,0,0,26
"sinai",0,0,0,0,0,0,0,0,0,0,35,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#armeniangenocide",0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,64,46,0,0
"#hillary2016",0,0,0,0,0,0,0,0,0,0,13,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#rotteneggchallenge",0,0,0,0,0,0,0,0,0,0,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hillary",0,0,0,0,0,0,0,0,0,0,9,51,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"#gaza",0,0,0,0,0,0,0,0,0,0,0,87,5,0,0,0,0,0,0,0,0,0,9,0,0,0
"welcome to israel",0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"go watch",0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,40,18,0,0,0,0,0,0,0,0,0
"yemen",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,23,0,0,0,0,0,0,0,0,0,0
"s-300",0,0,0,0,0,0,0,0,0,0,0,46,68,12,0,0,0,0,0,0,0,0,0,0,0,0
"#motavatormonday",0,0,0,0,0,0,0,0,0,0,0,47,54,29,0,0,0,0,53,91,13,0,0,0,0,0
"#kimyeinisrael",0,0,0,0,0,0,0,0,0,0,0,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"man united",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,28,39,0,0,0,0,0,0,0
"#whatsonmyphone",0,0,0,0,0,0,0,0,0,0,0,30,66,10,0,0,0,0,0,0,0,0,0,0,0,0
"#nufc",0,0,0,0,0,0,0,0,0,0,0,26,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"kim and kanye",0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"real madrid",0,0,0,0,0,0,0,0,0,0,0,21,8,0,0,0,0,0,0,0,0,19,0,0,0,0
"#guess1dfifthalbumtitle",0,0,0,0,0,0,0,0,0,0,0,0,69,52,0,0,0,0,0,0,0,0,0,0,0,0
"maccabi haifa",0,0,0,0,0,0,0,0,0,0,0,0,10,37,0,0,0,0,0,0,0,0,0,0,0,0
"#israelmissjb",0,0,0,0,0,0,0,0,0,0,0,0,49,78,50,0,0,0,0,0,0,0,0,0,0,0
"putin",0,0,0,0,0,0,0,0,0,0,0,0,12,51,0,0,0,0,0,0,0,0,0,0,0,0
"#clothespinchallenge",0,0,0,0,0,0,0,0,0,0,0,0,29,26,0,0,0,0,0,0,0,0,0,0,0,0
"#tedxjrslm",0,0,0,0,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0,0,0
"#5yearssinceniallsaudition",0,0,0,0,0,0,0,0,0,0,0,0,0,85,50,0,0,0,0,0,0,0,0,0,0,0
"#yomhashoah",0,0,0,0,0,0,0,0,0,0,0,0,0,35,95,32,9,0,0,0,0,0,0,0,0,0
"nablus",0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,0,0,0,0,0,0,0,0,0,0,0
"#holocaustmemorialday",0,0,0,0,0,0,0,0,0,0,0,0,0,17,30,56,0,0,0,0,0,0,0,0,0,0
"#neverforget",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0
"#stylingwithcheryl",0,0,0,0,0,0,0,0,0,0,0,0,0,42,45,0,0,0,0,0,0,0,0,0,0,0
"europe",0,0,0,0,0,0,0,0,0,0,0,0,0,41,42,0,0,56,44,0,0,0,0,0,0,0
"high court",0,0,0,0,0,0,0,0,0,0,0,0,0,39,56,0,0,0,0,0,0,0,0,0,0,0
"#shotsupdatenextweek",0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0,0,0,0,0,0,0,0,0,0
"jewish",0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,13,0,0,0,0,0,0,0,0,0,0
"netanyahu",0,0,0,0,0,0,0,0,0,0,0,0,0,23,72,17,0,0,0,0,0,0,0,0,0,0
"auschwitz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,42,0,0,0,0,0,0,0,0,0,0
"gta v",0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,78,0,0,0,0,0,0,0,0,0
"#مليونيه_خلع_الحجاب",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,20,0,0,0,0,0,0,0,0,0,0
