"hashtag","count","promoted"
"#bandwiches",1,false
"paul george",1,false
"#bucciovertimechallenge",2,false
"#nashville",2,false
"#arrow",1,false
"aoki",2,false
"#usmnt",3,false
"thunder",4,false
"#deeplinksf",4,false
"juan agudelo",5,false
"spurs",5,false
"#catfish",4,false
"timmy",1,false
"anthony davis",1,false
"crawford",2,false
"#blackhawks",4,false
"norris cole",1,false
"#winechat",7,false
"vamos mexico",8,false
"#becauseitsthecup",1,false
"quentin",1,false
"pelicans",12,false
"subban",7,false
"xbox one",3,false
"#norubber",9,false
"#usavmex",11,false
"meek",7,false
"don cherry",2,false
"markov",2,false
"#callmereed",3,false
"mario kart 8 dlc",7,false
"patty jenkins",7,false
"brock nelson",1,false
"#imsengage",3,false
"#jackie42",1,false
"pacifica",1,false
"#jackierobinsonday",6,false
"#ateamhotwings",4,false
"gamergate",8,false
"u.s. capitol",5,false
"#psgfcb",6,false
"david luiz",16,false
"suarez",13,false
"barca",6,false
"thiago silva",1,false
"bayern",15,false
"porto",11,false
"phil davis",2,false
"wade miley",3,false
"doug hughes",1,false
"peter chiarelli",1,false
"capitol",15,false
"#starwarsgrub",13,false
"#winewednesday",2,false
"flash gordon",6,false
"trevor bauer",6,false
"jackie robinson",5,false
"#dailythoughtsin4words",39,false
"#humpday",4,false
"#gsbsic",35,false
"brandon spikes",6,false
"casey anthony",7,false
"#taxday",33,false
"chiarelli",12,false
"#bostonstrong",5,false
"ray lewis",5,false
"#twittervideoexperience",10,false
"aaron hernandez",27,false
"politico new york",1,false
"#aaronhernandez",1,false
"foursquare",2,false
"#fightfor15",43,false
"draghi",1,false
"#forrforum",4,false
"animal kingdom",2,false
"#skollwf",13,false
"good wednesday",4,false
"#onebostonday",11,false
"cauca",10,false
"sats",4,false
"petersen house",5,false
"#shutdowna14",8,false
"v. stiviano",13,false
"klopp",22,false
"#equalpayday",13,false
"forest lake",7,false
"shelly sterling",3,false
"#mktgnation",13,false
"mewtwo",29,false
"nolan arenado",12,false
"nokia",6,false
"fleetwood mac",12,false
"jalen rose",6,false
"#justified",18,false
"#bmjfinale",10,false
"fernando rodney",16,false
"wonderlic",2,false
"arenado",13,false
"titan souls",11,false
"#5yearssinceniallsaudition",40,false
"#happybirthdaymamadre",8,false
"#agentsofshield",13,false
"rockies",3,false
"jae crowder",2,false
"roy hibbert",5,false
"john wall",11,false
"george hill",8,false
"pacers",14,false
"#unlikelyparentingadvice",1,false
"#theflash",4,false
"#rhobh",17,false
"#7daysuntilconnorsbook",5,false
"#5wordmoneyproblems",40,false
