"hashtag","count","promoted"
"열페럿",1,false
"멀티클립",2,false
"샤메회",3,false
"벤트맨",4,false
"이성종",2,false
"에브리원",1,false
"애플렉",7,false
"카페컵",8,false
"현금영수증",7,false
"특별수사팀장",6,false
"우치와",9,false
"레이팅",6,false
"시험장",5,false
"대통령 직무대행",4,false
"하이패스",3,false
"대통령 직무",8,false
"정조준",14,false
"조선일보",2,false
"#서인국_데뷔_2000일_축하해",18,false
"세월호",4,false
"광화문",13,false
"#cj150",30,false
"후레자식",5,false
"#벗고트친소",2,false
"올마이트",8,false
"자토이치",18,false
"#자캐그림으로_보는_그림체_변화",39,false
"#눈이_취향이면_rt",4,false
"김반장",11,false
"테렌스",23,false
"엔하위",15,false
"#시카야생일축하해",30,false
"엔하위키",3,false
"한선천",8,false
"화양연화",35,false
"#rt수만큼_이상형을_밝혀보자",28,false
"#happyjessday",2,false
"아란헬레",5,false
"#불금이니까_트친소",1,false
"에반스",6,false
"디자인돌",5,false
"최민호",3,false
"#멘션온_자캐의_근황을_얘기해본다",38,false
"출국금지",8,false
"갈비찜",6,false
"#두근두근인도",8,false
"색조합",1,false
"엑소예",2,false
"갈비찜덮밥",2,false
"홍준표 출국금지",4,false
"섬녀들",11,false
"나비소녀",10,false
"엑소엘 재팬",4,false
"경수 애교",7,false
"중계자분",8,false
"엑소 뮤뱅",2,false
"#callmebaby9thwin",17,false
"섹시어",4,false
"블랙팀",3,false
"송승준",9,false
"엠피디",3,false
"#내가_페티쉬를_느끼는_것들",56,false
"에스카",4,false
"#callmebaby8thwin",5,false
"사보리",4,false
"엠카 문자",4,false
"사전점수",7,false
"#qudtls",5,false
"헐크버스터",7,false
"조현아",12,false
"동물성격",8,false
"#탐라배_거짓말_대전",47,false
"김태희",27,false
"트오세",2,false
"김준수 앙코르 콘서트",1,false
"인사동",5,false
"김준수 앙코르 콘서트 굿즈",2,false
"리플렛",19,false
"시집와",12,false
"카이오빠",15,false
"한정사진",6,false
"인디언식",3,false
"지켜본다",4,false
"박성훈",4,false
"#bigbang",5,false
"수사염두",5,false
"버스킹",10,false
"잡채밥",1,false
"디디피",13,false
"성완종 장부",3,false
"콜라컵",3,false
"추리력",5,false
"스타워즈",5,false
"수사염두 몰래녹취",1,false
"로다주",43,false
"추미애",18,false
"엘홀더",24,false
