"hashtag","4-02","4-03","4-04","4-05","4-06","4-07","4-08","4-09","4-10","4-11","4-12","4-13","4-14","4-15","4-16","4-17","4-18","4-19","4-20","4-21","4-22","4-23","4-24","4-25","4-26","4-27"
"#나를_말해주는_세가지",16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"삼원칙",17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#트친들이_해주는_트친소",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"수애와 남매",7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"성문화",7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"맨스플레",6,44,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"서공예",0,32,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"게릴라데이트",0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"연예가중계",0,8,24,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"찬열선배",0,19,0,0,0,0,0,0,0,28,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
"레일리",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"봉중근",0,10,7,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"댄싱9",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"#자캐식으로_언니_저_마음에_안_들죠",0,48,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"안드레",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
"요난온",0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"시험장",0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"면토끼",0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#getwellsoontao",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
"음악중심",0,0,11,0,0,0,0,0,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,0
"수상소감",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"리버풀",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"그것이 알고싶다",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"발사이즈",0,0,18,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"라온넷",0,0,11,0,0,0,0,0,0,13,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"부활절",0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#발전했다면_rt",0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"덮세훈",0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0
"인기가요",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"문자투표",0,0,0,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"악마삘",0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"강민호",0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"복면가왕",0,0,0,19,0,0,0,0,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
"정승환",0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#땡큐릴레이",0,0,0,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#자기이름_초성으로_새로_이름짓기",0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,0,0,0,0,0,0,0
"저퀄합작",0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"바스타즈",0,0,0,17,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"공개망신",0,0,0,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"데스노트",0,0,0,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"자원외교 국조",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"롤링페이퍼",0,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#오너로서_자캐를_어떻게_생각하는가",0,0,0,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"권성동",0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,15,8,0,0,0,0
"#밤이니까_솔직하게_말해보자",0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,34,0
"푸른밤",0,0,0,0,6,0,10,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"#우리_커뮤_사람들만_이해하는_문장",0,0,0,0,38,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"나라 체면",0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"맨시티",0,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"국민의례",0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"헤스티아",0,0,0,0,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"지스타",0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"아쿠아리스트",0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"#전공자를_한_문장으로_빡치게_해보자",0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,0,0,0
"#mcountdown",0,0,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"송은범",0,0,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"양손동",0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"커지거",0,0,0,0,0,19,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"긴급체포",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"크라임씬",0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
"이성열",0,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"컬투쇼",0,0,0,0,0,0,12,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"모의고사",0,0,0,0,0,0,34,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"상단바",0,0,0,0,0,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"성완종",0,0,0,0,0,0,14,40,19,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"개인멘트",0,0,0,0,0,0,9,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"디디피",0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
"한정사진",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"포인트색",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"바이에른",0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"#사이퍼즈_유저_랜덤공개",0,0,0,0,0,0,0,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#선착순_3명_멘션온_단어로_닉네임",0,0,0,0,0,0,0,41,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
"김기춘",0,0,0,0,0,0,0,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#이걸_보는_즉시_배경화면을_찍는다",0,0,0,0,0,0,0,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#주변인이_생각하는_당신",0,0,0,0,0,0,0,6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"심수창",0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0
"#관글수만큼_최애캐를_소개",0,0,0,0,0,0,0,0,26,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"역조공",0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"홍준표 측근",0,0,0,0,0,0,0,0,13,9,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
"홍문종",0,0,0,0,0,0,0,0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"점프수트",0,0,0,0,0,0,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#실제_우리_형제의_대화를_말해보자",0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,10,27,0,0,0,0,0,0,0,0
"위치헌터",0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#탐라에_대고_애인을_불러보자",0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"캡사이신",0,0,0,0,0,0,0,0,0,30,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"개자식",0,0,0,0,0,0,0,0,0,41,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#happysehunday",0,0,0,0,0,0,0,0,0,35,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"장동민",0,0,0,0,0,0,0,0,0,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"경찰과 충돌",0,0,0,0,0,0,0,0,0,11,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"#sehun22ndbirthday",0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
