"hashtag","count","promoted"
"#rkoouttanowhere",1,false
"extreme rules",3,false
"#ffsmartnation",3,false
"brie",1,false
"the miz",5,false
"#lhhatl",5,false
"sheamus",8,false
"bo dallas",9,false
"#rawalbany",10,false
"new day",8,false
"#covetme",12,false
"lucha dragons",5,false
"#cookingfilms",10,false
"randy orton",9,false
"john major",5,false
"rupert murdoch",9,false
"newsnight",5,false
"big sean",10,false
"#virtuallyfamous",17,false
"#masterchef",15,false
"solanke",4,false
"#madeinchelsea",22,false
"churchill",2,false
"#reggieyatesextremerussia",3,false
"#safehouse",17,false
"#askmarcus",3,false
"mark francis",9,false
"jace",6,false
"pulitzer",1,false
"#hecanneverbebae",31,false
"#panorama",4,false
"frankie boyle",26,false
"cora",2,false
"rafael",3,false
"tammy abraham",7,false
"#leaderinterviews",4,false
"evan davis",12,false
"lagos to abuja",8,false
"tegan",3,false
"ariana and big sean",12,false
"pointless",1,false
"#maynardmonday",9,false
"#unionjtouracapella",10,false
"#notruledoutbythesnp",12,false
"ariana and sean",6,false
"#olliemarlandnewvideo",6,false
"holborn",9,false
"great page",1,false
"paul o'grady",9,false
"#motavatormonday",6,false
"point the toes",2,false
"jurassic world",28,false
"#maxmonday",9,false
"lab 30%",7,false
"#whoisjace",15,false
"#zaynwevemissedyou",14,false
"ed davey",3,false
"roger helmer",6,false
"caroline flint",8,false
"hawkins",5,false
"brian montenegro",1,false
"selt",4,false
"#weareus",12,false
"hove town hall",17,false
"john swinney",2,false
"liz truss",1,false
"sufjan stevens",5,false
"jeremy browne",10,false
"adam pearson",4,false
"ofcom",2,false
"#registertovote",26,false
"depay",9,false
"#rbweek",3,false
"#snpmanifesto",24,false
"nigel short",7,false
"lurgan",5,false
"#odifutures",4,false
"register to vote",6,false
"#cablive",1,false
"global witness",5,false
"silas",4,false
"#lovemesolyricvideo",5,false
"david guetta",3,false
"#kyliejennerchallenge",26,false
"aaron cruden",12,false
"hello monday",8,false
"#genitalgeography",1,false
"#mondayblogs",3,false
"good morning britain",8,false
"#selfieesteem",16,false
"#bigweekend",26,false
"ashton and bryana",6,false
"#mondaymotivation",40,false
"blake griffin",16,false
"gerrard",6,false
"liverpool",3,false
"#bahraingp",5,false
"#ontopictalkshow",7,false
"villa",7,false
"cruella",11,false
"happy 420",56,false
"#chi2015",6,false
"#acmawards50",8,false
"#shebadtonumberone",24,false
