"hashtag","count","promoted"
"mondawmin",1,false
"granada hills",2,false
"#camtalk",3,false
"ted 2",3,false
"#thebestcureforboredomis",8,false
"konami",9,false
"e&amp",8,false
"rgiii",3,false
"billy murphy",1,false
"#officeschmovies",11,false
"dr. cole",2,false
"north thurston high school",6,false
"#musicmonday",16,false
"billy corgan",17,false
"webby",3,false
"#notmytypeatallvideo",18,false
"ford bell",1,false
"refused",15,false
"tamerlan",20,false
"arkham knight",1,false
"jerrell freeman",1,false
"david bruck",1,false
"wendy sherman",2,false
"austin hatch",8,false
"redwood rd",1,false
"charlie hebdo",2,false
"shanna peeples",5,false
"ian somerhalder",3,false
"coretta scott king",1,false
"salmonella",1,false
"#shawnonbuzz",10,false
"catia",7,false
"#zbbnextword",2,false
"not my type at",3,false
"#imnotclingybut",17,false
"spirit of the lord",10,false
"happy birthday nolan",2,false
"james holmes",14,false
"draft week",4,false
"#mondaymotivation",35,false
"#wilpf100",1,false
"vegas gop",1,false
"#liamisthepoolcleaner",28,false
"#wsw2015",9,false
"good monday morning",4,false
"cap gemini",13,false
"belly 2",1,false
"#whatareyouafraidof",14,false
"broken age",12,false
"jon snow",2,false
"we're already a man down",4,false
"jurgen stark",4,false
"#unpopularsuperheroes",28,false
"#secretsandlies",4,false
"orton",1,false
"new jack city",14,false
"the little mermaid",2,false
"tglc",8,false
"#infinity",25,false
"uc berkeley",6,false
"monta ellis",17,false
"#rhoareunion",3,false
"#heroesofthedorm",23,false
"aminu",1,false
"raptors",6,false
"rio vista",37,false
"jj barea",14,false
"#andreachat",1,false
"#starttag",1,false
"espn 2",1,false
"#gameofthrones",15,false
"#madmen",23,false
"#extremerules",10,false
